dataset,method,variant,macro_f1_mean,macro_f1_std,auroc_mean,auroc_std,auprc_mean,auprc_std,source_table,reproducible
LifeService,TAPE,main,90.12,1.29,96.53,1.86,92.10,1.37,Table2,NOT_REPRODUCIBLE_PROPRIETARY
LifeService,FLAG,main,90.24,1.41,95.08,1.07,92.37,1.13,Table2,NOT_REPRODUCIBLE_PROPRIETARY
LifeService,GraphGPT,main,87.54,2.42,91.62,1.85,87.59,2.74,Table2,NOT_REPRODUCIBLE_PROPRIETARY
LifeService,HiGPT,main,89.61,2.08,96.15,2.37,90.15,1.70,Table2,NOT_REPRODUCIBLE_PROPRIETARY
LifeService,InstructGLM,main,89.79,1.57,95.28,1.31,92.20,2.16,Table2,NOT_REPRODUCIBLE_PROPRIETARY
LifeService,DGP,main,93.73,0.26,98.04,0.06,95.45,0.07,Table2,NOT_REPRODUCIBLE_PROPRIETARY
YelpReviews,DGP,task_agnostic,69.07,0.23,84.28,0.11,48.87,0.82,Table3,REPRODUCIBLE
YelpReviews,DGP,task_aware,58.65,0.05,70.65,1.05,29.02,0.36,Table3,REPRODUCIBLE
AmazonVideo,DGP,task_agnostic,66.91,0.13,77.32,0.11,34.63,0.24,Table3,REPRODUCIBLE
AmazonVideo,DGP,task_aware,65.55,0.21,73.73,0.17,31.82,0.27,Table3,REPRODUCIBLE
