experiment,mode,mean_raw_target_tokens,mean_raw_neighbor_tokens,mean_trimmed_neighbor_raw_tokens,mean_node_summary_tokens,mean_metapath_summary_tokens,mean_final_prompt_tokens,mean_num_neighbors_full,mean_num_neighbors_trimmed,nodes,average_prompt_length,p95_prompt_length,max_prompt_length,mean_full_neighbor_prompt_tokens,compression_ratio,token_reduction,targets_truncated,num_metapaths,K,M,B_node,B_meta
dgp_amazonvideo,UNKNOWN,117.01267085702884,1501547.0354185374,7396.547839968073,1308.5515314776014,460.03432106155844,781.5054374937644,16217.414347001895,47.74309089095081,10023,781.5054374937644,1205.8999999999996,1902.0,1501664.0480893943,1921.5017273649821,0.9994795737179111,93,12,2,4,10,10
dgp_amazonvideo_seed0,GPU_REPRODUCTION,117.01267085702884,1501547.0354185374,7396.547839968073,1308.5515314776014,460.03432106155844,781.5054374937644,16217.414347001895,47.74309089095081,10023,781.5054374937644,1205.8999999999996,1902.0,1501664.0480893943,1921.5017273649821,0.9994795737179111,93,12,2,4,10,10
