label,L,p,D,m,K,n_K,fraud_token_fraction
THEORETICAL_ANALYSIS,115.68598825620859,0.11794968485697355,10,10,1,10.0,0.591048856592734
THEORETICAL_ANALYSIS,115.68598825620859,0.11794968485697355,10,10,2,110.0,0.20188654304630718
THEORETICAL_ANALYSIS,115.68598825620859,0.11794968485697355,10,10,3,1110.0,0.12704773400937194
THEORETICAL_ANALYSIS,115.68598825620859,0.11794968485697355,10,115.68598825620859,1,10.0,0.1981360771427032
THEORETICAL_ANALYSIS,115.68598825620859,0.11794968485697355,10,115.68598825620859,2,110.0,0.12589608409249628
THEORETICAL_ANALYSIS,115.68598825620859,0.11794968485697355,10,115.68598825620859,3,1110.0,0.11874360953306988
THEORETICAL_ANALYSIS,115.68598825620859,0.11794968485697355,50,10,1,50.0,0.28368492058651956
THEORETICAL_ANALYSIS,115.68598825620859,0.11794968485697355,50,10,2,2550.0,0.1219332152002875
THEORETICAL_ANALYSIS,115.68598825620859,0.11794968485697355,50,10,3,127550.0,0.11802967827781329
THEORETICAL_ANALYSIS,115.68598825620859,0.11794968485697355,50,115.68598825620859,1,50.0,0.13524478907546425
THEORETICAL_ANALYSIS,115.68598825620859,0.11794968485697355,50,115.68598825620859,2,2550.0,0.11829545134664152
THEORETICAL_ANALYSIS,115.68598825620859,0.11794968485697355,50,115.68598825620859,3,127550.0,0.1179566001325507
THEORETICAL_ANALYSIS,115.68598825620859,0.11794968485697355,133.1,10,1,133.1,0.1884839011467285
THEORETICAL_ANALYSIS,115.68598825620859,0.11794968485697355,133.1,10,2,17848.71,0.11852101336024634
THEORETICAL_ANALYSIS,115.68598825620859,0.11794968485697355,133.1,10,3,2375796.4009999996,0.11795397985318977
THEORETICAL_ANALYSIS,115.68598825620859,0.11794968485697355,133.1,115.68598825620859,1,133.1,0.12452724127116463
THEORETICAL_ANALYSIS,115.68598825620859,0.11794968485697355,133.1,115.68598825620859,2,17848.71,0.11799910024328195
THEORETICAL_ANALYSIS,115.68598825620859,0.11794968485697355,133.1,115.68598825620859,3,2375796.4009999996,0.11795005612192853
