node,split,raw_target_tokens,raw_neighbor_tokens,trimmed_neighbor_raw_tokens,node_summary_tokens,metapath_summary_tokens,final_prompt_tokens,num_neighbors_full,num_neighbors_trimmed,num_metapaths,K,M,B_node,B_meta,target_truncated
1527,test,254,91651,10556,1171,392,826,617,32,12,2,4,10,10,False
1528,test,27,572795,10272,1574,482,717,5769,48,12,2,4,10,10,False
1534,test,21,236827,15543,1415,501,730,1711,48,12,2,4,10,10,False
1535,test,33,1543195,3889,1325,488,727,17105,48,12,2,4,10,10,False
1537,test,229,217195,6191,1210,423,830,1848,32,12,2,4,10,10,False
1540,test,32,1079198,2451,890,377,617,11150,48,12,2,4,10,10,False
1546,test,38,272198,6861,1450,485,731,2760,44,12,2,4,10,10,False
1561,test,243,644824,10460,1600,394,840,4545,41,12,2,4,10,10,False
1563,test,44,941245,3961,1128,541,792,9463,48,12,2,4,10,10,False
1573,test,26,1247569,4042,1103,442,676,13798,48,12,2,4,10,10,False
1580,test,22,1601742,1980,762,340,572,17075,48,12,2,4,10,10,False
1584,test,794,520383,27446,2083,473,1474,4043,46,12,2,4,10,10,False
1591,test,226,473409,20048,1883,551,990,3839,48,12,2,4,10,10,False
1595,test,25,1135995,4478,1096,466,701,11912,48,12,2,4,10,10,False
1598,test,762,438445,29282,1822,547,1519,3322,44,12,2,4,10,10,False
1599,test,41,1483523,3945,981,377,623,16648,48,12,2,4,10,10,False
1600,test,28,1057418,7181,1129,339,577,11963,48,12,2,4,10,10,False
1604,test,119,143013,8141,1092,367,662,661,32,12,2,4,10,10,False
1606,test,75,588096,14985,1722,523,801,4887,48,12,2,4,10,10,False
1608,test,134,118836,11116,1600,570,905,508,41,12,2,4,10,10,False
1612,test,279,549038,25174,2049,546,1036,3887,48,12,2,4,10,10,False
1619,test,469,135045,26042,2032,640,1320,451,46,12,2,4,10,10,False
1628,test,36,1831172,2025,902,276,522,21450,48,12,2,4,10,10,False
1640,test,35,1334324,1942,974,318,561,14887,48,12,2,4,10,10,False
1642,test,38,351011,9242,1282,325,573,3277,48,12,2,4,10,10,False
1644,test,68,1094593,7432,1534,443,720,12540,48,12,2,4,10,10,False
1649,test,28,1204830,2214,911,397,635,12705,48,12,2,4,10,10,False
1660,test,59,467348,5811,1394,493,764,4808,48,12,2,4,10,10,False
1664,test,41,984879,2032,924,362,613,10551,48,12,2,4,10,10,False
1666,test,29,578602,2959,1080,499,738,6325,48,12,2,4,10,10,False
1668,test,212,579540,8128,1785,540,959,5588,48,12,2,4,10,10,False
1669,test,30,212482,5536,1259,515,754,1881,48,12,2,4,10,10,False
1678,test,53,1751295,5194,1197,504,763,19611,48,12,2,4,10,10,False
1680,test,46,1712454,2119,921,425,678,19190,48,12,2,4,10,10,False
1686,test,99,1736268,4265,1216,353,657,19994,48,12,2,4,10,10,False
1687,test,46,1571507,3682,1188,370,624,18028,48,12,2,4,10,10,False
1689,test,63,869777,5896,1308,511,782,9285,48,12,2,4,10,10,False
1695,test,57,1850878,2779,1111,402,666,20396,48,12,2,4,10,10,False
1696,test,41,1739419,2789,985,420,669,18955,48,12,2,4,10,10,False
1701,test,36,1651394,2104,897,395,641,18808,48,12,2,4,10,10,False
1704,test,47,1686472,3027,1053,397,651,20028,48,12,2,4,10,10,False
1706,test,39,1663006,4664,1109,537,786,15337,48,12,2,4,10,10,False
1717,test,25,1303406,6126,1252,365,595,12173,48,12,2,4,10,10,False
1729,test,27,1109536,2526,888,263,500,11074,48,12,2,4,10,10,False
1732,test,34,841241,3166,949,504,746,8983,48,12,2,4,10,10,False
1746,test,83,1694591,6946,1284,461,751,18802,48,12,2,4,10,10,False
1755,test,215,1706622,15438,1598,490,914,18903,48,12,2,4,10,10,False
1756,test,39,1642128,3688,1126,512,761,17551,48,12,2,4,10,10,False
1772,test,36,265692,5027,1194,424,668,2129,48,12,2,4,10,10,False
1775,test,36,205298,11026,1386,504,749,1251,48,12,2,4,10,10,False
1784,test,64,351933,4643,1177,460,734,3405,46,12,2,4,10,10,False
1786,test,87,409504,15791,1733,584,877,2707,48,12,2,4,10,10,False
1791,test,27,975669,6155,874,442,678,10635,48,12,2,4,10,10,False
1800,test,170,1390965,18298,1914,610,993,12783,48,12,2,4,10,10,False
1803,test,43,1697755,9411,1492,387,637,19037,48,12,2,4,10,10,False
1808,test,30,715164,3531,980,494,734,6088,48,12,2,4,10,10,False
1816,test,30,1377048,8441,1244,462,698,15012,48,12,2,4,10,10,False
1817,test,597,660125,29987,2217,652,1463,5711,48,12,2,4,10,10,False
1822,test,49,278675,9905,1242,362,620,1836,48,12,2,4,10,10,False
1836,test,26,1631224,4149,1098,555,791,17027,48,12,2,4,10,10,False
1839,test,60,1127693,6490,1483,476,745,11612,48,12,2,4,10,10,False
1840,test,467,714963,20383,2150,532,1209,6504,48,12,2,4,10,10,False
1843,test,483,589612,19866,1624,414,1106,6046,48,12,2,4,10,10,False
1844,test,32,1222526,5120,1159,369,607,12312,48,12,2,4,10,10,False
1846,test,76,1881077,7628,1486,586,871,20219,48,12,2,4,10,10,False
1851,test,28,1596532,3518,874,421,658,17713,48,12,2,4,10,10,False
1853,test,43,1183092,12857,1367,404,656,12786,48,12,2,4,10,10,False
1854,test,610,1345802,25031,1911,496,1313,13944,48,12,2,4,10,10,False
1855,test,26,1904825,2722,1086,514,748,21375,48,12,2,4,10,10,False
1861,test,108,329354,10918,1560,465,771,2167,41,12,2,4,10,10,False
1868,test,50,1181950,12005,1541,580,835,10447,48,12,2,4,10,10,False
1877,test,52,412055,14243,1635,438,700,2691,48,12,2,4,10,10,False
1888,test,58,1180545,7083,1389,522,787,11360,48,12,2,4,10,10,False
